id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
2126,Location and Travel,Layout,current button size,increase,current button size,6,5,6,2.0,3
2127,Location and Travel,Color Contrast,black circle,arrange,purpose and function,4,4,4,4.0,4
2128,User account management,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2132,Exploration and Navigation,Usability of Buttons,ranking text,increase,text color contrast,6,6,6,3.0,3
2134,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
2136,Exploration and Navigation,Layout,setting bar,increase,separate background,6,7,7,4.0,4
2137,Media and content interaction,Color Contrast,"more common language , such",emphasize,header and sub header,4,4,4,2.0,2
2138,Media and content interaction,Color Contrast,item load but lack proper visual-blank image,uniform font style to be use consistently,placeholder image or alternative visual content,6,5,6,2.0,3
2139,Media and content interaction,Color Contrast,ranking text,adjust,text color contrast,7,7,6,3.0,3
2143,Exploration and Navigation,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2144,Exploration and Navigation,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,7,7,7,3.0,4
2146,Media and content interaction,Layout,current button size,increase,current button size,6,6,6,3.0,3
2147,Media and content interaction,Layout,standard drop,improve,placeholder image or alternative visual content,4,4,4,2.0,2
2151,Exploration and Navigation,Learnability,breakfast icon,uniform font style to be use consistently,appropriate icon clearly represent function,7,7,7,4.0,4
2152,Exploration and Navigation,Layout,text color contrast,uniform font style to be use consistently,text color contrast,5,5,5,3.0,2
2154,Exploration and Navigation,Learnability,error and omission except,proofread,error and omission except,8,8,8,4.0,4
2155,Accessing and managing information,Color Contrast,current button size,increase,current button size,6,6,6,3.0,3
2156,Accessing and managing information,Learnability,note section,add,breakfast icon,6,6,6,3.0,3
2157,Accessing and managing information,Learnability,breakfast icon,text color contrast,breakfast icon,5,6,5,3.0,3
2163,User account management,Layout,breakfast icon,uniform font style to be use consistently,set icon,8,8,8,4.0,4
2165,Exploration and Navigation,Layout,button or icon allow user to see current location,change,prominently position back button,4,8,6,4.0,4
2166,Exploration and Navigation,Text Readability,current button size,increase,current button size,5,4,5,2.0,2
2167,Customization of app settings and preferences,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2168,Customization of app settings and preferences,Layout,purpose and function,change,text color contrast,5,7,6,4.0,3
2169,Customization of app settings and preferences,Text Readability,button or icon allow user to see current location,give,placeholder image or alternative visual content,6,5,6,3.0,3
2170,Customization of app settings and preferences,Usability of Buttons,Gender setting,reintegrate,appropriate icon clearly represent function,5,5,5,3.0,2
2171,Customization of app settings and preferences,Learnability,clear layout and intuitive navigation,proofread,ranking text,6,7,7,3.0,4
2173,Customization of app settings and preferences,Text Readability,check box size,increase,check box size,6,6,6,3.0,3
2177,Exploration and Navigation,Usability of Buttons,ranking text,enlarge,ranking text,6,6,6,3.0,3
2178,Exploration and Navigation,Usability of Buttons,ranking text,uniform font style to be use consistently,current button size,5,5,5,3.0,2
2179,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,5,6,3.0,3
2181,Media and content interaction,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,breakfast icon,5,5,5,3.0,2
2183,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
2184,Exploration and Navigation,Color Contrast,purpose and function,increase,separate background,7,7,7,3.0,4
2185,Exploration and Navigation,Color Contrast,GET,adjust,"more common language , such",8,8,8,4.0,4
2186,Customization of app settings and preferences,Text Readability,current button size,increase,current button size,6,5,6,2.0,3
2187,Customization of app settings and preferences,Layout,button or icon allow user to see current location,increase,current button size,5,6,6,3.0,3
2192,Media and content interaction,Layout,more readable font,adjust,more readable font,6,6,6,3.0,3
2194,Media and content interaction,Color Contrast,RESTORE PURCHASES button,resize,RESTORE PURCHASES button,6,5,5,3.0,3
2195,Customization of app settings and preferences,Layout,checkboxe,ensure,uniform font style to be use consistently,7,7,7,4.0,3
2196,Customization of app settings and preferences,Layout,more readable font,uniform font style to be use consistently,current button size,7,8,7,4.0,4
2197,Customization of app settings and preferences,Layout,more readable font,uniform font style to be use consistently,current button size,6,7,7,4.0,4
2200,Exploration and Navigation,Usability of Buttons,breakfast icon,resize,breakfast icon,6,6,6,3.0,3
2201,Exploration and Navigation,Layout,current button size,increase,current button size,5,5,5,3.0,2
2205,Accessing and managing information,Learnability,purpose and function,arrange,purpose and function,4,4,4,2.0,2
2206,Accessing and managing information,Layout,purpose and function,align,purpose and function,6,6,6,3.0,3
2207,Accessing and managing information,Text Readability,current lack,leave alignment,space element,6,6,6,3.0,3
2208,Accessing and managing information,Layout,two label,make,ranking text,5,6,5,3.0,3
2209,Accessing and managing information,Text Readability,button or icon allow user to see current location,give,placeholder image or alternative visual content,5,4,5,2.0,2
2210,Accessing and managing information,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2214,Media and content interaction,Color Contrast,ranking text,increase,ranking text,4,6,5,3.0,3
2217,Customization of app settings and preferences,Color Contrast,text color contrast,choose,placeholder image or alternative visual content,4,4,4,2.0,2
2218,Customization of app settings and preferences,Usability of Buttons,call,change,text color contrast,5,5,5,3.0,3
2220,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
2222,Accessing and managing information,Layout,clear and functional checkbox,be,clear and functional checkbox,7,7,7,3.0,4
2223,Accessing and managing information,Usability of Buttons,clear and functional checkbox,be,clear and functional checkbox,6,6,6,3.0,3
2224,Accessing and managing information,Layout,clear and functional checkbox,be,clear and functional checkbox,6,6,6,3.0,3
2225,Accessing and managing information,Learnability,breakfast icon,change,breakfast icon,5,5,5,3.0,2
2227,Accessing and managing information,Text Readability,ranking text,be,ranking text,6,6,6,3.0,3
2229,Customization of app settings and preferences,Usability of Buttons,ranking text,change,ranking text,6,6,6,3.0,3
2231,Media and content interaction,Usability of Buttons,ranking text,uniform font style to be use consistently,text color contrast,7,7,7,4.0,3
2235,User account management,Usability of Buttons,forgot passcode hyperlink,apply,text color contrast,6,6,6,3.0,3
2236,User account management,Learnability,breakfast icon,change,breakfast icon,7,7,7,3.0,4
2239,Customization of app settings and preferences,Text Readability,button or icon allow user to see current location,increase,current button size,5,4,5,2.0,2
2243,Accessing and managing information,Text Readability,breakfast icon,increase,setting bar,6,6,6,3.0,3
2244,Accessing and managing information,Learnability,breakfast icon,uniform font style to be use consistently,more clear icon match rest,5,5,5,3.0,2
2245,Accessing and managing information,Color Contrast,button or icon allow user to see current location,give,prominence,5,4,5,2.0,2
2246,Media and content interaction,Text Readability,purpose and function,reintroduce,"more common language , such",6,6,6,3.0,3
2247,Media and content interaction,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
2248,Media and content interaction,Layout,more readable font,increase,current button size,8,8,8,4.0,4
2249,Media and content interaction,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2250,Media and content interaction,Layout,purpose and function,align,purpose and function,4,4,4,2.0,2
2251,Media and content interaction,Usability of Buttons,button or icon allow user to see current location,give,placeholder image or alternative visual content,4,4,4,2.0,2
2252,Accessing and managing information,Layout,item load but lack proper visual-blank image,enlarge,item load but lack proper visual-blank image,6,6,6,3.0,3
2253,Accessing and managing information,Layout,repeat number,increase,current button size,5,6,5,3.0,3
2254,Accessing and managing information,Learnability,headline,add,description,6,6,6,3.0,3
2256,Location and Travel,Layout,uniform font style to be use consistently,adjust,text color contrast,4,4,4,2.0,2
2257,Location and Travel,Layout,ranking text,align,ranking text,7,7,7,3.0,4
2258,Accessing and managing information,Layout,current button size,increase,current button size,6,6,6,3.0,3
2259,Accessing and managing information,Usability of Buttons,ranking text,increase,separate background,6,6,6,3.0,3
2261,Accessing and managing information,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2262,Accessing and managing information,Usability of Buttons,positioning use design software to ensure alignment,add,button or icon allow user to see current location,6,6,6,3.0,3
2263,Accessing and managing information,Usability of Buttons,sentence,adjust,systematic arrangement,8,7,7,3.0,3
2265,Media and content interaction,Layout,current button size,increase,current button size,5,5,5,2.0,3
2266,Media and content interaction,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2269,Customization of app settings and preferences,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
