id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
1971,more readable font,highlighted part darker,ranking text,vibrant and eye-catch color,separation,vibrant and eye-catch color,absence,reintegrate,appropriate icon clearly represent function,unknown,improve,positioning use design software to ensure alignment,more readable font,uniform font style to be use consistently,unnecessarily large font,breakfast icon,uniform font style to be use consistently,breakfast icon,unknown,unknown,unknown
1972,button or icon allow user to see current location,add,button or icon allow user to see current location,unknown,offer,space element,ranking text,uniform font style to be use consistently,current button size,more readable font,uniform font style to be use consistently,unnecessarily large font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1973,positioning use design software to ensure alignment,add,space element,ranking text,change,color weight,breakfast icon,increase,current button size,more readable font,uniform font style to be use consistently,unnecessarily large font,breakfast icon,uniform font style to be use consistently,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown
1974,text color contrast,increase,color weight,unknown,try,unknown,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1975,breakfast icon,change,prominently position back button,purpose and function,omit,setting bar,text and title,increase,more readable font,button or icon allow user to see current location,add,boundry,button or icon allow user to see current location,add,boundry,unknown,unknown,unknown,unknown,unknown,unknown
1976,positioning use design software to ensure alignment,increase,length,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1977,current button size,increase,current button size,uniform font style to be use consistently,specify,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1978,unknown,correct,spelling babsy,unknown,give,uniform font style to be use consistently,"acronyms-DUR , GWN , ROC",uniform font style to be use consistently,uniform font style to be use consistently,uniform font style to be use consistently,specify,"more common language , such",screen,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown
1979,positioning use design software to ensure alignment,uniform font style to be use consistently,text color contrast,current lack,add,consistent margin,unknown,try,unknown,screen,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1980,unknown,increase,current button size,absence,identify,unknown,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1981,facebook app,consider,unknown,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,facebook app,consider,unknown,unknown,reintroduce,back and exit button,more readable font,uniform font style to be use consistently,current button size,button or icon allow user to see current location,make,designer
1982,current button size,increase,current button size,current button size,increase,current button size,song detail,paste,play button icon,facebook app,choose,positioning use design software to ensure alignment,more readable font,uniform font style to be use consistently,current button size,button or icon allow user to see current location,make,designer,unknown,unknown,unknown
1983,same font size / type / color weight,add,same font size / type / color weight,unknown,consider,unknown,unknown,reintegrate,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1984,current button size,increase,current button size,unknown,remove,unknown,button or icon allow user to see current location,consider,unknown,ranking text,enlarge,ranking text,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown
1985,positioning use design software to ensure alignment,arrange,positioning use design software to ensure alignment,unknown,add,header and sub header,positioning use design software to ensure alignment,organize,positioning use design software to ensure alignment,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1986,text color contrast,change,text color contrast,cross button,consider,unknown,more readable font,increase,current button size,more readable font,make,more readable font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1987,cross button,make,cross button,separate background,choose,text color contrast,Check upgrade button,consider,unknown,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1988,ranking text,increase,ranking text,text color contrast,change,text color contrast,uniform font style to be use consistently,tone,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1989,"more common language , such",add,clear label or tool tip,ranking text,uniform font style to be use consistently,current button size,button or icon allow user to see current location,emphasize,button or icon allow user to see current location,button or icon allow user to see current location,add,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1990,absence,add,breakfast icon,button or icon allow user to see current location,improve,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1991,breakfast icon,try,unknown,text and title,change,text and title,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1992,ranking text,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1993,more readable font,try,unknown,more readable font,uniform font style to be use consistently,large font size and more white space Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1994,ranking text,increase,current button size,Search Icon size,increase,current button size,unknown,remove,advertisement,background theme and graphic,change,background theme and graphic,background theme and graphic,uniform font style to be use consistently,text color contrast,more readable font,uniform font style to be use consistently,current button size,appropriate icon clearly represent function,uniform font style to be use consistently,unnecessarily large font
1995,setting bar,make,information,highlighted section,treat,♫ Chicago Public Radio section,unknown,consider,unknown,positioning use design software to ensure alignment,uniform font style to be use consistently,purpose and function,positioning use design software to ensure alignment,follow,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown
